代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
000007.SZ,全新好,1992-04-13,N/A,3.9846,4.8087,3.9846,4.4012,31900,3781000,N/A,N/A,118.5266,0.3798,204120000,N/A,515974050,8400000,0,21233500,67.8324,15.9026,6.7378,N/A,
000007.SZ,全新好,1992-04-14,4.4012,4.4374,4.528,4.2835,4.5008,42100,5148000,0.0996,2.2634,122.2803,0.5012,208740000,N/A,527652475,8400000,0,21233500,69.3677,16.2625,6.8903,N/A,
000007.SZ,全新好,1992-04-15,4.5008,4.528,4.6729,3.9846,4.1477,25100,3041000,-0.3532,-7.8471,121.1554,0.2988,192360000,N/A,486247150,8400000,0,21233500,63.9244,14.9864,6.3496,N/A,
000007.SZ,全新好,1992-04-16,4.1477,4.1839,4.3831,4.1658,4.3378,37000,4338000,0.1902,4.5852,117.2432,0.4405,201180000,N/A,508542325,8400000,0,21233500,66.8554,15.6736,6.6407,N/A,
000007.SZ,全新好,1992-04-17,4.3378,4.365,4.4374,4.1658,4.3288,31200,3749000,-0.0091,-0.2088,120.1603,0.3714,200760000,N/A,507480650,8400000,0,21233500,66.7158,15.6408,6.6269,N/A,
000007.SZ,全新好,1992-04-20,4.3288,4.2563,4.4012,4.2201,4.2292,11000,1312000,-0.0996,-2.3013,119.2727,0.131,196140000,N/A,495802225,8400000,0,21233500,65.1805,15.2809,6.4744,N/A,
000007.SZ,全新好,1992-04-21,4.2292,4.2563,4.2563,4.0933,4.211,21800,2526000,-0.0181,-0.4283,115.8716,0.2595,195300000,N/A,493678875,8400000,0,21233500,64.9014,15.2155,6.4466,N/A,
000007.SZ,全新好,1992-04-22,4.211,4.1839,4.4374,4.0028,4.4374,36900,4373000,0.2264,5.3763,118.5095,0.4393,205800000,N/A,520220750,8400000,0,21233500,68.3907,16.0335,6.7932,N/A,
000007.SZ,全新好,1992-04-23,4.4374,4.4556,4.5008,4.3469,4.5008,29000,3546000,0.0634,1.4286,122.2759,0.3452,208740000,N/A,527652475,8400000,0,21233500,69.3677,16.2625,6.8903,N/A,
000007.SZ,全新好,1992-04-24,4.5008,4.528,4.6548,4.4012,4.6367,58800,7400000,0.1358,3.0181,125.8503,0.7,215040000,N/A,543577600,8400000,0,21233500,71.4613,16.7534,7.0982,N/A,
000007.SZ,全新好,1992-04-27,4.6367,4.6457,4.6457,4.4374,4.4918,18200,2267000,-0.1449,-3.125,124.5604,0.2167,208320000,N/A,526590800,8400000,0,21233500,69.2281,16.2298,6.8764,N/A,
000007.SZ,全新好,1992-04-28,4.4918,4.4374,4.4918,4.4012,4.4465,25500,3114000,-0.0453,-1.0081,122.1176,0.3036,206220000,N/A,521282425,8400000,0,21233500,68.5303,16.0662,6.8071,N/A,
000007.SZ,全新好,1992-04-29,4.4465,4.3469,4.4556,4.3469,4.4556,12200,1494000,0.0091,0.2037,122.459,0.1452,206640000,N/A,522344100,8400000,0,21233500,68.6699,16.0989,6.821,N/A,
000007.SZ,全新好,1992-04-30,4.4556,4.4827,4.5371,4.4737,4.5099,33400,4166000,0.0543,1.2195,124.7305,0.3976,209160000,N/A,528714150,8400000,0,21233500,69.5073,16.2953,6.9041,N/A,
000007.SZ,全新好,1992-05-04,4.5099,4.5461,4.5461,4.4012,4.4827,13100,1608000,-0.0272,-0.6024,122.7481,0.156,207900000,N/A,525529125,8400000,0,21233500,69.0886,16.1971,6.8625,N/A,
