,代码,日期,开盘价(元),收盘价(元),最低价(元),最高价(元),总股本(股),总市值(元),涨跌幅(%),label
0,000009.SZ,1991-06-26,0.8525,0.8525,0.8340000000000001,0.8896,225030000,1035138000.0,6.9767,0.8896
1,000009.SZ,1991-06-27,0.871,0.871,0.8432,0.8896,225030000,1057641000.0,2.1739,0.8896
2,000009.SZ,1991-06-28,0.8896,0.8896,0.8525,0.8896,225030000,1080144000.0,2.1277,0.871
3,000009.SZ,1991-07-01,0.871,0.8618,0.8525,0.871,225030000,1046389500.0,-3.125,0.871
4,000009.SZ,1991-07-02,0.8525,0.8062,0.7969,0.871,225030000,978880500.0,-6.4516,0.8247
5,000009.SZ,1991-07-03,0.8154,0.8062,0.7784,0.8247,225030000,978880500.0,0.0,0.8062
6,000009.SZ,1991-07-04,0.8062,0.7876,0.7876,0.8062,225030000,956377500.0,-2.2989,0.7969
7,000009.SZ,1991-07-05,0.7969,0.7413,0.7228,0.7969,225030000,900120000.0,-5.8824,0.695
8,000009.SZ,1991-07-08,0.695,0.6486,0.6301,0.695,225030000,787605000.0,-12.5,0.6672
9,000009.SZ,1991-07-09,0.6672,0.6116,0.593,0.6672,225030000,742599000.0,-5.7143,0.6208
10,000009.SZ,1991-07-10,0.6116,0.6116,0.593,0.6208,225030000,742599000.0,0.0,0.6301
11,000009.SZ,1991-07-11,0.6208,0.6301,0.6116,0.6301,225030000,765102000.0,3.0303,0.6394
12,000009.SZ,1991-07-12,0.6394,0.6208,0.6116,0.6394,225030000,753850500.0,-1.4706,0.6301
13,000009.SZ,1991-07-15,0.6301,0.6116,0.593,0.6301,225030000,742599000.0,-1.4925,0.6208
14,000009.SZ,1991-07-16,0.6116,0.5745,0.5745,0.6208,225030000,697593000.0,-6.0606,0.593
15,000009.SZ,1991-07-17,0.593,0.5838,0.5838,0.593,225030000,708844500.0,1.6129,0.6764
16,000009.SZ,1991-07-18,0.5838,0.6764,0.5838,0.6764,225030000,821359500.0,15.873,0.7506
17,000009.SZ,1991-07-19,0.7042,0.7506,0.6672,0.7506,225030000,911371500.0,10.9589,0.7042
18,000009.SZ,1991-07-22,0.7042,0.6857,0.6672,0.7042,225030000,832611000.0,-8.642000000000001,0.6857
19,000009.SZ,1991-07-23,0.6764,0.6857,0.6486,0.6857,225030000,832611000.0,0.0,0.6857
20,000009.SZ,1991-07-24,0.6764,0.6857,0.6672,0.6857,225030000,832611000.0,0.0,0.695
21,000009.SZ,1991-07-25,0.6857,0.6764,0.6579,0.695,225030000,821359500.0,-1.3514,0.6764
22,000009.SZ,1991-07-26,0.6764,0.6486,0.6486,0.6764,225030000,787605000.0,-4.1096,0.6672
23,000009.SZ,1991-07-29,0.6579,0.6486,0.6394,0.6672,225030000,787605000.0,0.0,0.6486
24,000009.SZ,1991-07-30,0.6486,0.6486,0.6116,0.6486,225030000,787605000.0,0.0,0.6486
25,000009.SZ,1991-07-31,0.6301,0.6486,0.6301,0.6486,225030000,787605000.0,0.0,0.6579
26,000009.SZ,1991-08-01,0.6394,0.6486,0.6394,0.6579,225030000,787605000.0,0.0,0.6672
27,000009.SZ,1991-08-02,0.6486,0.6579,0.6486,0.6672,225030000,798856500.0,1.4286,0.6764
28,000009.SZ,1991-08-05,0.6764,0.6672,0.6579,0.6764,225030000,810108000.0,1.4085,0.6764
29,000009.SZ,1991-08-06,0.6579,0.6672,0.6486,0.6764,225030000,810108000.0,0.0,0.6764
30,000009.SZ,1991-08-07,0.6672,0.6764,0.6672,0.6764,225030000,821359500.0,1.3889,0.6764
31,000009.SZ,1991-08-08,0.6764,0.6764,0.6672,0.6764,225030000,821359500.0,0.0,0.6672
32,000009.SZ,1991-08-09,0.6579,0.6672,0.6579,0.6672,225030000,810108000.0,-1.3699,0.6672
33,000009.SZ,1991-08-13,0.6579,0.6579,0.6579,0.6672,225030000,798856500.0,-1.3889,0.6672
34,000009.SZ,1991-08-14,0.6579,0.6579,0.6486,0.6672,225030000,798856500.0,0.0,0.6672
35,000009.SZ,1991-08-15,0.6486,0.6486,0.6486,0.6672,225030000,787605000.0,-1.4085,0.6764
36,000009.SZ,1991-08-16,0.6579,0.6764,0.6486,0.6764,225030000,821359500.0,4.2857,0.6672
37,000009.SZ,1991-08-19,0.6579,0.6672,0.6579,0.6672,225030000,810108000.0,-1.3699,0.6672
38,000009.SZ,1991-08-20,0.6672,0.6672,0.6486,0.6672,225030000,810108000.0,0.0,0.6672
39,000009.SZ,1991-08-21,0.6672,0.6672,0.6486,0.6672,225030000,810108000.0,0.0,0.6672
40,000009.SZ,1991-08-22,0.6579,0.6672,0.6579,0.6672,225030000,810108000.0,0.0,0.6579
41,000009.SZ,1991-08-23,0.6579,0.6579,0.6579,0.6579,225030000,798856500.0,-1.3889,0.6672
42,000009.SZ,1991-08-26,0.6579,0.6672,0.6486,0.6672,225030000,810108000.0,1.4085,0.6672
43,000009.SZ,1991-08-27,0.6579,0.6579,0.6486,0.6672,225030000,798856500.0,-1.3889,0.6672
44,000009.SZ,1991-08-28,0.6579,0.6672,0.6486,0.6672,225030000,810108000.0,1.4085,0.6672
45,000009.SZ,1991-08-29,0.6579,0.6672,0.6486,0.6672,225030000,810108000.0,0.0,0.6672
46,000009.SZ,1991-08-30,0.6579,0.6672,0.6579,0.6672,225030000,810108000.0,0.0,0.6672
47,000009.SZ,1991-09-02,0.6579,0.6579,0.6579,0.6672,225030000,798856500.0,-1.3889,0.6672
48,000009.SZ,1991-09-03,0.6579,0.6579,0.6579,0.6672,225030000,798856500.0,0.0,0.6672
49,000009.SZ,1991-09-04,0.6672,0.6579,0.6486,0.6672,225030000,798856500.0,0.0,0.6579
50,000009.SZ,1991-09-05,0.6579,0.6579,0.6486,0.6579,225030000,798856500.0,0.0,0.6579
51,000009.SZ,1991-09-06,0.6486,0.6486,0.6394,0.6579,225030000,787605000.0,-1.4085,0.6486
52,000009.SZ,1991-09-09,0.6486,0.6486,0.6394,0.6486,225030000,787605000.0,0.0,0.6579
53,000009.SZ,1991-09-10,0.6486,0.6579,0.6394,0.6579,225030000,798856500.0,1.4286,0.6579
54,000009.SZ,1991-09-11,0.6579,0.6579,0.6486,0.6579,225030000,798856500.0,0.0,0.6579
55,000009.SZ,1991-09-12,0.6486,0.6579,0.6486,0.6579,225030000,798856500.0,0.0,0.6579
